Galaxy Soldier
Aromaseraphy Angelica
Chaos Form
Secrets of Dark Magic
T.G. Booster Raptor
Ultimate Ancient Gear Golem
Wave-Motion Cannon
Palladium Oracle Mahad
Blue-Eyes Chaos MAX Dragon
Secret Village of the Spellcasters
Ancient City - Rainbow Ruins
Tuning
Naturia Beast
Madolche Puddingcess Chocolat-a-la-Mode
Orbital 7 (card)
Dillingerous Dragon
Yubel - The Ultimate Nightmare
"Lightning, Dragon Ruler of Drafts"
Infernoble Knight - Renaud
Magical Musketeer Starfire
Sinister Shadow Games
Dark Armed Dragon
Vision HERO Vyon
Aromage Jasmine
D/D Orthros
"Eria the Water Charmer, Gentle"
Odd-Eyes Arc Pendulum Dragon
Photon Thrasher
Armityle the Chaos Phantasm
Cyber Dragon
Predaplant Dragostapelia
Odd-Eyes Pendulum Dragon
Eldlich the Golden Lord
Toon Black Luster Soldier
Evil HERO Adusted Gold
Giant Beetrooper Invincible Atlas
Artifact Moralltach
Lonefire Blossom
"Dante, Traveler of the Burning Abyss"
Summon Limit
Firewing Pegasus
Blackwing Armor Master
Formula Synchron
Horn of the Phantom Beast
Wind-Up Shark
Blue-Eyes Twin Burst Dragon
D/D Lamia
Onomatopickup
Vision HERO Faris
Gagaga Cowboy
"Neptabyss, the Atlantean Prince"
Shaddoll Fusion
Triple Tactics Talent
ZS - Armed Sage
Number C39: Utopia Ray
Heavy Storm
Naturia Barkion
Colossal Fighter
Glow-Up Bulb
Red-Eyes Fusion
Raidraptor - Nest
Double Iris Magician
Sengenjin
"Selene, Queen of the Master Magicians"
Fire Hand
Madolche Hootcake
Ally of Justice Catastor
Kunai with Chain
Wynn the Wind Channeler
Starliege Paladynamo
Red-Eyes Black Metal Dragon
Blackwing - Silverwind the Ascendant
Enemy Controller
Strike Ninja
Solar Recharge
SPYRAL Sleeper
Crystron Phoenix
Daigusto Emeral
D.D. Warrior Lady
D/D Necro Slime
Solemn Warning
Super Polymerization
Thunder Dragon
Soul Charge
Orcust Harp Horror
Brotherhood of the Fire Fist - Tiger King
Star Drawing
"Stream, Dragon Ruler of Droplets"
Aromaseraphy Jasmine
Hi-Five the Sky
Synchron Carrier
Swap Frog
Magician Navigation
Silent Swordsman
Fusion Destiny
Thunder Dragonmatrix
Familiar-Possessed - Lyna
Pot of Duality
Link Spider
Left Arm of the Forbidden One
Pot of Desires
Proxy F Magician
Code Generator
Red Gadget
Dark Magician
Number 101: Silent Honor ARK
Blackwing - Vayu the Emblem of Honor
Dragunity Knight - Romulus
Accesscode Talker
Snatch Steal
Gateway of the Six
Card of Demise
Magical Musketeer Max
Instant Fusion
"Graff, Malebranche of the Burning Abyss"
Elemental HERO Liquid Soldier
Meteor Black Dragon
Dimension Fusion
Trade-In
Diamond Dire Wolf
Orcust Knightmare
Traptrix Myrmeleo
Invocation
Shooting Quasar Dragon
Dark Contract with the Swamp King
Cyber Dragon Core
Malefic Cyber End Dragon
Cyber Jar
Magic Cylinder
Ultimate Conductor Tyranno
Charge of the Light Brigade
Blue-Eyes Spirit Dragon
Mermail Abyssteus
Elemental HERO Sparkman
Chimeratech Overdragon
Rivalry of Warlords
Evoltile Najasho
Pot of Greed
Sacred Phoenix of Nephthys
Humid Winds
Destiny HERO - Plasma
Trickstar Holly Angel
Zubababancho Gagagacoat
Tellarknight Ptolemaeus
Underworld Goddess of the Closed World
Salamangreat Circle
Snipe Hunter
Chaos Ancient Gear Giant
Black Whirlwind
D.D. Crow
Coach King Giantrainer
"Sillva, Warlord of Dark World"
T.G. Trident Launcher
Evolzar Dolkka
Amano-Iwato
Right Arm of the Forbidden One
Stellarknight Constellar Diamond
Premature Burial
Aromage Laurel
Harpie Harpist
"Goldd, Wu-Lord of Dark World"
Altergeist Multifaker
Polymerization
Injection Fairy Lily
Fire Formation - Tenki
Infinite Impermanence
Crossout Designator
Dragonmaid Lorpar
Zombie World
Drytron Meteonis Draconids
Nekroz of Trishula
Black Rose Dragon
The Iris Swordsoul
Evenly Matched
Photon Orbital
The Melody of Awakening Dragon
Number 15: Gimmick Puppet Giant Grinder
Book of Eclipse
"Lumina, Twilightsworn Shaman"
PSY-Framegear Delta
Raidraptor - Ultimate Falcon
Harpie Perfumer
Eternal Galaxy
Odd-Eyes Absolute Dragon
Anti-Magic Arrows
Cynet Codec
Number 92: Heart-eartH Dragon
Cyber Dragon Sieger
Bahamut Shark
Timestar Magician
Bountiful Artemis
Tri-Brigade Revolt
Ancient Pixie Dragon
Dimensional Prison
Mechanicalchaser
Blue-Eyes White Dragon
Cyber Dragon Nova
Number 4: Stealth Kragen
"Trishula, Dragon of the Ice Barrier"
PSY-Framegear Epsilon
Madolche Fresh Sistart
Parlor Dragonmaid
Mermail Abyssgaios
Rank-Up-Magic Astral Force
Thestalos the Firestorm Monarch
Cyberdark Chimera
Elemental HERO Neos
Magical Musket - Cross-Domination
Quadborrel Dragon
Superdreadnought Rail Cannon Gustav Max
Melffy Catty
Earthbound Immortal Aslla piscu
Sky Striker Ace - Roze
Droll &amp; Lock Bird
Madolche Promenade
Advanced Ritual Art
Number 18: Heraldry Patriarch
"Gameciel, the Sea Turtle Kaiju"
Smashing Ground
Souleating Oviraptor
Cyber Twin Dragon
Ritual Beast Tamer Elder
Dark Infant @Ignister
The Eye of Timaeus
Kycoo the Ghost Destroyer
The Claw of Hermos
Future Fusion
Toon Kingdom
Eclipse Wyvern
Legendary Six Samurai - Shi En
Artifact Sanctum
"Beatrice, Lady of the Eternal"
T.G. Star Guardian
Typhoon
The Phantom Knights of Shade Brigandine
Familiar-Possessed - Hiita
Elder Entity Norden
Number S39: Utopia the Lightning
Ancient Gear Golem
Drytron Nova
Magnarokket Dragon
"Castel, the Skyblaster Musketeer"
El Shaddoll Construct
Lightning Vortex
Raidraptor - Strangle Lanius
E - Emergency Call
Geargiarmor
"Raiden, Hand of the Lightsworn"
Constellar Pleiades
Steelswarm Roach
"Artemis, the Magistus Moon Maiden"
Madolche Petingcessoeur
Brilliant Fusion
Red-Eyes Black Dragon
"Brionac, Dragon of the Ice Barrier"
Debris Dragon
Cyber-Stein
Opening of the Spirit Gates
Starlight Road
Trident Dragion
Dragon Ravine
"Tidal, Dragon Ruler of Waterfalls"
Maxx &quot;C&quot;
Astral Kuriboh
Block Dragon
Destiny HERO - Denier
"Dogmatika Fleurdelis, the Knighted"
Monster Reborn
Sky Striker Mecha - Eagle Booster
Fabled Raven
Nemeses Corridor
SPYRAL Super Agent
Chronomaly Nebra Disk
Inferno Fire Blast
Magical Musket - Steady Hands
Elemental HERO Avian
"Lyna the Light Charmer, Lustrous"
"Scarm, Malebranche of the Burning Abyss"
Fusion Deployment
Number 16: Shock Master
Eater of Millions
Dogmatika Maximus
Raidraptor - Wise Strix
Aluber the Jester of Despia
Number 38: Hope Harbinger Dragon Titanic Galaxy
T.G. Hyper Librarian
Fissure
Slushy
Parallel eXceed
Blessed Winds
Raidraptor - Mimicry Lanius
Dinowrestler Pankratops
Drill Warrior
Witch of the Black Forest
Wisdom-Eye Magician
Number C32: Shark Drake Veiss
Time Pendulumgraph
Erebus the Underworld Monarch
Brain Control
"Grapha, Dragon Lord of Dark World"
Madolche Ticket
Six Samurai United
Invoked Mechaba
Sage with Eyes of Blue
Forbidden Droplet
Borreload Dragon
Toon Dark Magician Girl
Blackwing Full Armor Master
Medallion of the Ice Barrier
Atlantean Marksman
Predaplant Ophrys Scorpio
Dark Rebellion Xyz Dragon
Elemental HERO Wildheart
Drytron Delta Altais
Secret Six Samurai - Hatsume
Dueltaining
Ice Barrier (card)
Cold Wave
Skyscraper 2 - Hero City
Aqua Madoor
XX-Saber Emmersblade
Amphibious Swarmship Amblowhale
Gorz the Emissary of Darkness
Obelisk the Tormentor
Archfiend Eccentrick
Ancient Fairy Dragon
Starving Venom Fusion Dragon
Ostinato
The White Stone of Legend
Guardragon Pisty
Nekroz of Unicore
Tyrant Red Dragon Archfiend
Cyber Emergency
Exodia the Forbidden One
D/D/D Oblivion King Abyss Ragnarok
"Minerva, the Exalted Lightsworn"
T.G. Warwolf
XYZ-Dragon Cannon
Number 32: Shark Drake
Ritual Beast Ulti-Cannahawk
D.D. Assailant
Silverrokket Dragon
Rare Value
The Seal of Orichalcos
Mirror Force
Marauding Captain
"Galatea, the Orcust Automaton"
Sky Striker Ace - Shizuku
Winged Kuriboh
T.G. Tank Grub
Uni-Zombie
Tachyon Transmigration
Scapegoat
Evil★Twin Lil-la
Saryuja Skull Dread
Infernoid Onuncu
T.G. Striker
Salamangreat Gazelle
United We Stand
Fabled Grimro
Infernity Archfiend
Magical Musket - Dancing Needle
Crystron Quan
Hysteric Sign
Chamber Dragonmaid
Geartown
Masked HERO Dark Law
Drytron Zeta Aldhibah
Onomatopaira
Photon Sanctuary
Rokket Caliber
Legendary Six Samurai - Kizan
Meteor Dragon
Cross-Sheep
T.G. Halberd Cannon
Petit Moth
Aromaseraphy Rosemary
Performapal Monkeyboard
Utopic Onomatopoeia
Tri-Brigade Ferrijit the Barren Blossom
Saqlifice
SPYRAL Master Plan
Lunalight Tiger
Pot of Avarice
The Winged Dragon of Ra
Malefic Stardust Dragon
Galaxy Wizard
Crystal Beast Ruby Carbuncle
Phoenix Wing Wind Blast
"True King Lithosagym, the Disaster"
"Master Peace, the True Dracoslaying King"
Harmonizing Magician
Dragonmaid Sheou
Macro Cosmos
Man-Eater Bug
Thunder Dragon Titan
Secret Six Samurai - Kizaru
"Redox, Dragon Ruler of Boulders"
Wind-Up Zenmaines
Ghost Ogre &amp; Snow Rabbit
Gem-Knight Master Diamond
Dark End Dragon
Terraforming
Red-Eyes Darkness Metal Dragon
Magician of Black Chaos
Familiar-Possessed - Wynn
Circle of the Fire Kings
Meteonis Drytron
Summoning Curse
"Apollousa, Bow of the Goddess"
Satellarknight Deneb
Gate Guardian
Forbidden Chalice
Shinobaroness Peacock
Set Rotation
Tri-Brigade Shuraig the Ominous Omen
Downerd Magician
Borreload Savage Dragon
Eternal Soul
Red-Eyes Dark Dragoon
Evil★Twin Ki-sikil
Number 39: Utopia Double
Branded Opening
Sky Striker Mobilize - Engage!
Spellbook of Secrets
The Door of Destiny
Dark Hole
Dodododwarf Gogogoglove
D/D/D Wave Oblivion King Caesar Ragnarok
Dogmatika Punishment
Zoodiac Ratpier
Dragon Shrine
Code Talker Inverted
Dark Magical Circle
Cyber Dragon Infinity
Mathematician
Supreme King Z-ARC
Blackwing - Gale the Whirlwind
Imperial Order
Dark Magician the Dragon Knight
Trap Trick
Mystic Piper
Leviair the Sea Dragon
Revealer of the Ice Barrier
Xtra HERO Infernal Devicer
Ancient Gear Catapult
Jinzo
Seiyaryu
Apprentice Magician
Ghost Sister &amp; Spooky Dogwood
Junk Synchron
Limiter Removal
SPYRAL Resort
Xyz Change Tactics
Dark Ruler No More
Phoenixian Cluster Amaryllis
Jurrac Meteor
Shaddoll Schism
Linkuriboh
Gimmick Puppet Dreary Doll
Quickdraw Synchron
Reborn Tengu
Accel Synchron
Joyous Melffys
Ghost Mourner &amp; Moonlit Chill
Magical Hats
Spellbook Magician of Prophecy
Dragon Spirit of White
"Curious, the Lightsworn Dominion"
SPYRAL Quik-Fix
Gem-Knight Fusion
Altergeist Pookuery
Fairy Tail - Luna
Galaxy Cyclone
Fallen of Albaz
Black Rose Moonlight Dragon
Diviner of the Herald
Evilswarm Ophion
Cards of Consonance
Thunder Dragon Colossus
Pot of Extravagance
Mausoleum of the Emperor
Power Tool Dragon
Breakthrough Skill
Odd-Eyes Vortex Dragon
Mermail Abysslinde
Evil HERO Dark Gaia
Mystical Space Typhoon
Unchained Soul of Rage
Superancient Deepsea King Coelacanth
Machina Fortress
Ghost Belle &amp; Haunted Mansion
Left Leg of the Forbidden One
Mobius the Frost Monarch
Raidraptor - Arsenal Falcon
Cyber Dragon Nachster
Borrelsword Dragon
Junk Converter
Egyptian God Slime
Eradicator Epidemic Virus
Blowback Dragon
Swords of Revealing Light
Soul Servant
Deep Sea Diva
Firewall Dragon Darkfluid
Cyber Harpie Lady
"Burner, Dragon Ruler of Sparks"
Ultimate Offering
Mermail Abyssmegalo
Magical Musketeer Caspar
Magical Musketeer Kidbrave
Crystal Clear Wing Synchro Dragon
Atlantean Heavy Infantry
Trap Hole
Creature Swap
Spellbook of Judgment
Gogogo Golem
Number 41: Bagooska the Terribly Tired Tapir
White Aura Monoceros
Wind-Up Magician
Stardust Charge Warrior
A Hero Lives
Cosmic Blazar Dragon
Number 90: Galaxy-Eyes Photon Lord
Ancient Gear Howitzer
"Sauravis, the Ancient and Ascended"
Ib the World Chalice Justiciar
Reinforcement of the Army
Babycerasaurus
Borrelend Dragon
Substitoad
Crystal Beast Sapphire Pegasus
Evilswarm Exciton Knight
Mudragon of the Swamp
Maiden with Eyes of Blue
D/D/D Flame King Genghis
Herald of the Arc Light
Forbidden Dark Contract with the Swamp King
"Aussa the Earth Charmer, Immovable"
Serpent Night Dragon
Cyber Phoenix
Horus the Black Flame Dragon LV8
Borrel Regenerator
Small World
Trap Dustshoot
"Cherubini, Ebon Angel of the Burning Abyss"
Fabled Lurrie
Mecha Phantom Beast Dracossack
Barricadeborg Blocker
Salamangreat Almiraj
Royal Decree
Lullaby of Obedience
SPYRAL Double Helix
T.G. Recipro Dragonfly
Cyber Angel Benten
"Ignister Prominence, the Blasting Dracoslayer"
D/D/D Wave King Caesar
Delinquent Duo
Card of Safe Return
Zaborg the Thunder Monarch
Ancient Gear Frame
Silent Magician
The Flute of Summoning Dragon
D/D/D Wave High King Caesar
Lady Debug
PSY-Framelord Omega
Night Beam
Superdreadnought Rail Cannon Juggernaut Liebe
Toadally Awesome
Meteor Black Comet Dragon
Vision HERO Trinity
Masked HERO Acid
Dark Paladin
Rainbow Dragon
Reasoning
D/D Ghost
The Phantom Knights of Silent Boots
Number 30: Acid Golem of Destruction
Master Hyperion
Blue-Eyes Alternative White Dragon
Book of Moon
Infernoid Devyaty
Arcana Force XXI - The World
Kanan the Swordmistress
Melffy Puppy
Mask Change
Madolche Teacher Glassouffle
Ancient Gear Hunting Hound
Number C107: Neo Galaxy-Eyes Tachyon Dragon
Sakuretsu Armor
Slifer the Sky Dragon
Sangan
Mind Control
D/D Savant Copernicus
Malefic Blue-Eyes White Dragon
Caius the Shadow Monarch
Star Pendulumgraph
Sunavalon Dryatrentiay
Plaguespreader Zombie
Honest
D/D/D Abyss King Gilgamesh
Elemental HERO Prisma
Fire King High Avatar Garunix
Draco Face-Off
Ceasefire
Traptrix Rafflesia
Yubel
Zexal Construction
Starliege Photon Blast Dragon
That Grass Looks Greener
Breaker the Magical Warrior
Ancient Gear Ballista
Dark Fusion
Zoodiac Drident
PSY-Framegear Gamma
Foolish Burial Goods
Mathmech Sigma
Vampire Lord
One for One
"Dingirsu, the Orcust of the Evening Star"
Right Leg of the Forbidden One
Danger! Nessie!
XX-Saber Hyunlei
Inzektor Hornet
D/D/D Flame High King Genghis
1st Movement Solo
Inzektor Dragonfly
Awakening of the Possessed
Harpie Conductor
Black Dragon Collapserpent
Number 39: Utopia
Needle Worm
Purple Poison Magician
Chimeratech Fortress Dragon
Black Luster Soldier - Envoy of the Beginning
Raiza the Storm Monarch
El Shaddoll Winda
Cosmic Cyclone
Token Stampede
Number 11: Big Eye
Ninja Grandmaster Hanzo
Doomcaliber Knight
Super-Nimble Mega Hamster
Skull Meister
Compulsory Evacuation Device
D/D/D Marksman King Tell
Red-Eyes Flare Metal Dragon
Mermail Abysspike
Dimensional Fissure
Xtra HERO Wonder Driver
Scrap Dragon
Sky Striker Ace - Kagari
Inspector Boarder
Perfectly Ultimate Great Moth
Fishborg Blaster
Backup Secretary
ZS - Ascended Sage
"Dogmatika Ecclesia, the Virtuous"
Garden Rose Maiden
Windwitch - Ice Bell
Elemental HERO Flame Wingman
Knightmare Unicorn
Emergency Teleport
Cosmo Queen
Gear Gigant X
Absorouter Dragon
Luna Light Perfume
Sky Striker Ace - Hayate
Nobleman of Crossout
Edge Imp Chain
Armageddon Knight
Lightsworn Judgment
Madolche Magileine
Tour Guide From the Underworld
Ehther the Heavenly Monarch
Wattgiraffe
Skull Servant
"Wulf, Lightsworn Beast"
Tri-Horned Dragon
Boot Sector Launch
"Bingo Machine, Go!!!"
Ultimaya Tzolkin
Overload Fusion
